Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,360,Indonesia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,966736,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,392,Japan,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1395190,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,251,France,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,76272,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,258,French Polynesia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,643,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,276,Germany,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,353622,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,288,Ghana,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,34,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,300,Greece,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,657184,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,308,Grenada,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,2764,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,328,Guyana,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,129155,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,332,Haiti,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,397205,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,340,Honduras,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,784908,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,635764,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,348,Hungary,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,36803,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,352,Iceland,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1782534,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,32,Argentina,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,1029738,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,36,Australia,,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",0,,,,,,,,367460,,,0
